Frquency(Hz),Angle_of_Attack,Chord_Length,Free_stream_velocity,Displacement,Sound_pressure_level,predicted
800,0.0,0.3048,71.3,0.00266337,126.20100000000001,127.58003007693446
1000,0.0,0.3048,71.3,0.00266337,125.20100000000001,127.31994044133599
1250,0.0,0.3048,71.3,0.00266337,125.95100000000001,126.99482839683789
1600,0.0,0.3048,71.3,0.00266337,127.59100000000001,126.53967153454055
2000,0.0,0.3048,71.3,0.00266337,127.461,126.0194922633436
2500,0.0,0.3048,71.3,0.00266337,125.571,125.3692681743474
3150,0.0,0.3048,71.3,0.00266337,125.20100000000001,124.52397685865235
4000,0.0,0.3048,71.3,0.00266337,123.061,123.41859590735882
5000,0.0,0.3048,71.3,0.00266337,121.301,122.11814772936643
6300,0.0,0.3048,71.3,0.00266337,119.541,120.42756509797631
8000,0.0,0.3048,71.3,0.00266337,117.15100000000001,118.21680319538925
10000,0.0,0.3048,71.3,0.00266337,115.391,115.61590683940447
12500,0.0,0.3048,71.3,0.00266337,112.241,112.36478639442349
16000,0.0,0.3048,71.3,0.00266337,108.721,107.81321777145013
500,0.0,0.3048,55.5,0.00283081,126.416,126.37168292222294
630,0.0,0.3048,55.5,0.00283081,127.696,126.20262465908394
800,0.0,0.3048,55.5,0.00283081,128.086,125.98154846882522
1000,0.0,0.3048,55.5,0.00283081,126.96600000000001,125.72145883322675
1250,0.0,0.3048,55.5,0.00283081,126.086,125.39634678872865
1600,0.0,0.3048,55.5,0.00283081,126.986,124.9411899264313
2000,0.0,0.3048,55.5,0.00283081,126.616,124.42101065523435
2500,0.0,0.3048,55.5,0.00283081,124.10600000000001,123.77078656623816
3150,0.0,0.3048,55.5,0.00283081,123.236,122.92549525054311
4000,0.0,0.3048,55.5,0.00283081,121.10600000000001,121.82011429924957
5000,0.0,0.3048,55.5,0.00283081,119.60600000000001,120.51966612125719
6300,0.0,0.3048,55.5,0.00283081,117.976,118.82908348986707
8000,0.0,0.3048,55.5,0.00283081,116.476,116.61832158728001
10000,0.0,0.3048,55.5,0.00283081,113.07600000000001,114.01742523129523
12500,0.0,0.3048,55.5,0.00283081,111.07600000000001,110.76630478631425
200,0.0,0.3048,39.6,0.00310138,118.12899999999999,125.1388310751377
250,0.0,0.3048,39.6,0.00310138,119.319,125.07380866623808
315,0.0,0.3048,39.6,0.00310138,122.779,124.98927953466858
400,0.0,0.3048,39.6,0.00310138,124.809,124.87874143953923
500,0.0,0.3048,39.6,0.00310138,126.959,124.74869662173998
630,0.0,0.3048,39.6,0.00310138,128.629,124.57963835860097
800,0.0,0.3048,39.6,0.00310138,129.099,124.35856216834227
1000,0.0,0.3048,39.6,0.00310138,127.899,124.0984725327438
1250,0.0,0.3048,39.6,0.00310138,125.499,123.7733604882457
1600,0.0,0.3048,39.6,0.00310138,124.04899999999999,123.31820362594836
2000,0.0,0.3048,39.6,0.00310138,123.689,122.7980243547514
2500,0.0,0.3048,39.6,0.00310138,121.399,122.14780026575521
3150,0.0,0.3048,39.6,0.00310138,120.319,121.30250895006016
4000,0.0,0.3048,39.6,0.00310138,119.229,120.19712799876662
5000,0.0,0.3048,39.6,0.00310138,117.789,118.89667982077422
6300,0.0,0.3048,39.6,0.00310138,116.229,117.20609718938412
8000,0.0,0.3048,39.6,0.00310138,114.779,114.99533528679706
10000,0.0,0.3048,39.6,0.00310138,112.139,112.39443893081227
12500,0.0,0.3048,39.6,0.00310138,109.619,109.1433184858313
200,0.0,0.3048,31.7,0.00331266,117.195,124.32160954184957
250,0.0,0.3048,31.7,0.00331266,118.595,124.25658713294996
315,0.0,0.3048,31.7,0.00331266,122.765,124.17205800138045
400,0.0,0.3048,31.7,0.00331266,125.045,124.06151990625109
500,0.0,0.3048,31.7,0.00331266,127.315,123.93147508845186
630,0.0,0.3048,31.7,0.00331266,129.095,123.76241682531284
800,0.0,0.3048,31.7,0.00331266,129.235,123.54134063505414
1000,0.0,0.3048,31.7,0.00331266,127.365,123.28125099945566
1250,0.0,0.3048,31.7,0.00331266,124.355,122.95613895495757
1600,0.0,0.3048,31.7,0.00331266,122.365,122.50098209266022
2000,0.0,0.3048,31.7,0.00331266,122.375,121.98080282146327
2500,0.0,0.3048,31.7,0.00331266,120.755,121.33057873246707
3150,0.0,0.3048,31.7,0.00331266,119.135,120.48528741677202
4000,0.0,0.3048,31.7,0.00331266,118.145,119.37990646547848
5000,0.0,0.3048,31.7,0.00331266,115.645,118.07945828748609
6300,0.0,0.3048,31.7,0.00331266,113.775,116.38887565609599
8000,0.0,0.3048,31.7,0.00331266,110.515,114.17811375350892
10000,0.0,0.3048,31.7,0.00331266,108.265,111.57721739752415
800,1.5,0.3048,71.3,0.00336729,127.12200000000001,126.86027759791507
1000,1.5,0.3048,71.3,0.00336729,125.992,126.6001879623166
1250,1.5,0.3048,71.3,0.00336729,125.87200000000001,126.2750759178185
1600,1.5,0.3048,71.3,0.00336729,126.632,125.81991905552115
2000,1.5,0.3048,71.3,0.00336729,126.64200000000001,125.2997397843242
2500,1.5,0.3048,71.3,0.00336729,124.512,124.649515695328
3150,1.5,0.3048,71.3,0.00336729,123.39200000000001,123.80422437963296
4000,1.5,0.3048,71.3,0.00336729,121.762,122.69884342833942
5000,1.5,0.3048,71.3,0.00336729,119.632,121.39839525034702
6300,1.5,0.3048,71.3,0.00336729,118.12200000000001,119.70781261895692
8000,1.5,0.3048,71.3,0.00336729,115.37200000000001,117.49705071636986
10000,1.5,0.3048,71.3,0.00336729,113.492,114.89615436038507
12500,1.5,0.3048,71.3,0.00336729,109.22200000000001,111.6450339154041
16000,1.5,0.3048,71.3,0.00336729,106.58200000000001,107.09346529243072
315,1.5,0.3048,39.6,0.00392107,121.851,124.25320823295112
400,1.5,0.3048,39.6,0.00392107,124.001,124.14267013782178
500,1.5,0.3048,39.6,0.00392107,126.661,124.01262532002254
630,1.5,0.3048,39.6,0.00392107,128.311,123.84356705688353
800,1.5,0.3048,39.6,0.00392107,128.83100000000002,123.62249086662482
1000,1.5,0.3048,39.6,0.00392107,127.581,123.36240123102634
1250,1.5,0.3048,39.6,0.00392107,125.211,123.03728918652824
1600,1.5,0.3048,39.6,0.00392107,122.211,122.58213232423091
2000,1.5,0.3048,39.6,0.00392107,122.101,122.06195305303396
2500,1.5,0.3048,39.6,0.00392107,120.98100000000001,121.41172896403776
3150,1.5,0.3048,39.6,0.00392107,119.111,120.5664376483427
4000,1.5,0.3048,39.6,0.00392107,117.741,119.46105669704917
5000,1.5,0.3048,39.6,0.00392107,116.241,118.16060851905678
